date,theme,mention_count,avg_sentiment,discovery_signal
2025-10-01,Model Release,24,0.319,34
2025-10-01,Research Breakthrough,22,0.457,29
2025-10-01,Product Launch,19,0.232,25
2025-10-01,Policy & Regulation,11,0.092,15
2025-10-01,Funding/M&A,15,0.2,18
2025-10-01,Open-Source,13,0.444,23
2025-10-01,Safety Incident,6,-0.469,6
2025-10-02,Model Release,19,0.294,28
2025-10-02,Research Breakthrough,23,0.437,37
2025-10-02,Product Launch,19,0.421,26
2025-10-02,Policy & Regulation,12,-0.223,6
2025-10-02,Funding/M&A,12,0.015,15
2025-10-02,Open-Source,17,0.181,24
2025-10-02,Safety Incident,5,-0.466,4
2025-10-03,Model Release,22,0.497,37
2025-10-03,Research Breakthrough,19,0.597,34
2025-10-03,Product Launch,14,0.151,17
2025-10-03,Policy & Regulation,10,0.005,15
2025-10-03,Funding/M&A,10,-0.018,12
2025-10-03,Open-Source,17,0.491,29
2025-10-03,Safety Incident,7,-0.467,5
2025-10-04,Model Release,17,0.522,24
2025-10-04,Research Breakthrough,16,0.526,25
2025-10-04,Product Launch,16,0.385,29
2025-10-04,Policy & Regulation,10,-0.06,10
2025-10-04,Funding/M&A,9,0.351,12
2025-10-04,Open-Source,12,0.535,18
2025-10-04,Safety Incident,5,-0.781,4
2025-10-05,Model Release,17,0.425,29
2025-10-05,Research Breakthrough,16,0.527,26
2025-10-05,Product Launch,17,0.441,27
2025-10-05,Policy & Regulation,7,0.213,10
2025-10-05,Funding/M&A,13,0.175,20
2025-10-05,Open-Source,11,0.687,20
2025-10-05,Safety Incident,4,-0.653,4
2025-10-06,Model Release,27,0.497,46
2025-10-06,Research Breakthrough,10,0.608,18
2025-10-06,Product Launch,14,0.167,18
2025-10-06,Policy & Regulation,13,-0.14,12
2025-10-06,Funding/M&A,15,0.1,17
2025-10-06,Open-Source,14,0.177,18
2025-10-06,Safety Incident,4,-0.291,4
2025-10-07,Model Release,34,0.401,58
2025-10-07,Research Breakthrough,16,0.458,26
2025-10-07,Product Launch,23,-0.023,28
2025-10-07,Policy & Regulation,12,0.326,18
2025-10-07,Funding/M&A,14,0.086,14
2025-10-07,Open-Source,16,0.365,28
2025-10-07,Safety Incident,6,-0.392,4
2025-10-08,Model Release,24,0.397,39
2025-10-08,Research Breakthrough,25,0.472,35
2025-10-08,Product Launch,19,0.373,29
2025-10-08,Policy & Regulation,10,0.254,14
2025-10-08,Funding/M&A,15,0.409,24
2025-10-08,Open-Source,16,0.788,31
2025-10-08,Safety Incident,6,-0.43,7
2025-10-09,Model Release,26,0.443,45
2025-10-09,Research Breakthrough,19,0.169,25
2025-10-09,Product Launch,19,0.171,27
2025-10-09,Policy & Regulation,12,-0.129,13
2025-10-09,Funding/M&A,13,-0.087,14
2025-10-09,Open-Source,16,0.266,23
2025-10-09,Safety Incident,7,-0.554,7
2025-10-10,Model Release,26,0.222,36
2025-10-10,Research Breakthrough,18,0.888,31
2025-10-10,Product Launch,18,0.225,24
2025-10-10,Policy & Regulation,13,0.048,19
2025-10-10,Funding/M&A,11,0.243,14
2025-10-10,Open-Source,12,0.411,18
2025-10-10,Safety Incident,6,-0.829,7
2025-10-11,Model Release,19,0.664,31
2025-10-11,Research Breakthrough,17,1,33
2025-10-11,Product Launch,10,0.182,14
2025-10-11,Policy & Regulation,10,0.282,13
2025-10-11,Funding/M&A,7,0.102,10
2025-10-11,Open-Source,13,0.048,15
2025-10-11,Safety Incident,7,-0.067,8
2025-10-12,Model Release,21,0.127,23
2025-10-12,Research Breakthrough,16,0.571,28
2025-10-12,Product Launch,13,0.073,14
2025-10-12,Policy & Regulation,7,0.166,6
2025-10-12,Funding/M&A,10,0.261,16
2025-10-12,Open-Source,12,0.58,19
2025-10-12,Safety Incident,4,-0.571,5
2025-10-13,Model Release,26,0.438,53
2025-10-13,Research Breakthrough,18,0.592,31
2025-10-13,Product Launch,15,0.697,30
2025-10-13,Policy & Regulation,7,-0.022,8
2025-10-13,Funding/M&A,13,-0.063,9
2025-10-13,Open-Source,9,0.387,13
2025-10-13,Safety Incident,6,-0.589,4
2025-10-14,Model Release,18,0.409,28
2025-10-14,Research Breakthrough,24,0.622,41
2025-10-14,Product Launch,22,0.255,28
2025-10-14,Policy & Regulation,10,-0.055,7
2025-10-14,Funding/M&A,14,0.225,18
2025-10-14,Open-Source,14,0.467,26
2025-10-14,Safety Incident,7,-0.541,6
2025-10-15,Model Release,26,0.122,31
2025-10-15,Research Breakthrough,21,0.812,43
2025-10-15,Product Launch,21,0.152,28
2025-10-15,Policy & Regulation,9,0.106,11
2025-10-15,Funding/M&A,12,0.54,21
2025-10-15,Open-Source,11,0.5,17
2025-10-15,Safety Incident,7,-0.366,7
2025-10-16,Model Release,18,0.142,24
2025-10-16,Research Breakthrough,25,0.823,55
2025-10-16,Product Launch,12,0.419,15
2025-10-16,Policy & Regulation,14,0.096,14
